category,question,answer,expected_escalate,actual_escalate,escalate_correct,keyword_correct,no_hallucination,score
환불/반품,환불하고 싶어요,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,반품 어떻게 해요?,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,교환 신청하고 싶어요,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,반품 비용이 얼마예요?,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,환불 언제 돼요?,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,상품 받았는데 불량이에요,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,교환 기간이 얼마예요?,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,반품 접수는 어떻게 해요?,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,환불 금액이 언제 입금되나요?,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
환불/반품,부분 취소 가능한가요?,"
    안녕하세요. 고객님의 문의를 확인했습니다.
    해당 문의는 전문 상담원의 도움이 필요합니다.
    
    아래 방법으로 상담원과 연결하실 수 있습니다.
    
    ■ 1:1 문의
    무신사 앱 > 마이 > 1:1 문의
    
    ■ 고객센터
    운영시간: 평일 09:00 ~ 18:00
    
    빠른 시간 내에 도움드",False,True,False,False,True,0.333
